data,model,emsize,nhid,nlayers,lr,clip,epochs,dropout,seed,cuda,log_interval,save,summary,condition,run,ignore_speaker,full_context,epoch,train_loss,val_loss,val_acc,val_prec,val_recall,val_f,epoch_time
./data/seame,LSTM,200,64,2,0.1,0.5,40,0.2,0,True,5,results/partial_context/0-0.pt,results/partial_context/summary.txt,0,0,False,False,1,1.078260940547946,23885.79296875,0.6685286422415595,0.6916410953477835,0.8500663585495821,0.7627138674840642,754.629771232605
./data/seame,LSTM,200,64,2,0.1,0.5,40,0.2,1,True,5,results/partial_context/0-1.pt,results/partial_context/summary.txt,0,1,False,False,1,0.7591091081201703,11778.041015625,0.7151365766425941,0.7082628092743137,0.9292312281457668,0.8038379439217502,826.8310296535492
./data/seame,LSTM,200,64,2,0.1,0.5,40,0.2,2,True,5,results/partial_context/0-2.pt,results/partial_context/summary.txt,0,2,False,False,1,0.7699230227645233,11317.1904296875,0.7202582585979709,0.7116906751422566,0.929517630635426,0.8061487719440867,893.3859484195709
./data/seame,LSTM,200,64,2,0.1,0.5,40,0.2,3,True,5,results/partial_context/0-3.pt,results/partial_context/summary.txt,0,3,False,False,1,0.7952362372442704,11770.48828125,0.6421278857697983,0.707570756258579,0.6718099094696176,0.6892267776632617,923.035758972168
./data/seame,LSTM,200,64,2,0.1,0.5,40,0.2,0,True,5,results/partial_context/0-0.pt,results/partial_context/summary.txt,0,0,False,False,2,0.8187985125167321,12657.41796875,0.6466749186715761,0.7005746065194486,0.719484624251664,0.7099037090983804,945.1338768005371
./data/seame,LSTM,200,64,2,0.1,0.5,40,0.2,1,True,5,results/partial_context/0-1.pt,results/partial_context/summary.txt,0,1,False,False,2,0.5546288920494312,11491.0556640625,0.7141255096013647,0.7059390301300865,0.9375286355722533,0.8054165829082154,948.1598987579346
./data/seame,LSTM,200,64,2,0.1,0.5,40,0.2,2,True,5,results/partial_context/0-2.pt,results/partial_context/summary.txt,0,2,False,False,2,0.546122570104342,10779.486328125,0.6551581992772224,0.7841395684063255,0.5119129444001088,0.6194366220768456,969.062406539917
./data/seame,LSTM,200,64,2,0.1,0.5,40,0.2,3,True,5,results/partial_context/0-3.pt,results/partial_context/summary.txt,0,3,False,False,2,0.5686208691284904,11103.5615234375,0.7051997682896625,0.7007160782434666,0.934331064881592,0.8008341561498273,953.2497537136078
./data/seame,LSTM,200,64,2,0.1,0.5,40,0.2,0,True,5,results/partial_context/0-0.pt,results/partial_context/summary.txt,0,0,False,False,3,0.6236251883727815,13321.072265625,0.6726540117228988,0.6929407216079646,0.8585738285733295,0.7669161314095277,966.8359177112579
./data/seame,LSTM,200,64,2,0.1,0.5,40,0.2,4,True,5,results/partial_context/0-4.pt,results/partial_context/summary.txt,0,4,False,False,1,0.7147995483132392,11865.265625,0.6982266775984921,0.7059426896776294,0.8830813515366703,0.7846386314351291,962.8277156352997
./data/seame,LSTM,200,64,2,0.1,0.5,40,0.2,1,True,5,results/partial_context/0-1.pt,results/partial_context/summary.txt,0,1,False,False,3,0.53474009011229,10948.3837890625,0.725404762482705,0.7050008656746339,0.9801853505888016,0.8201248194622959,945.1938252449036
./data/seame,LSTM,200,64,2,0.1,0.5,40,0.2,2,True,5,results/partial_context/0-2.pt,results/partial_context/summary.txt,0,2,False,False,3,0.5261387937134262,10890.5947265625,0.727594497541117,0.7099915774275057,0.9618314886958222,0.816943215722108,898.8976712226868
./data/seame,LSTM,200,64,2,0.1,0.5,40,0.2,3,True,5,results/partial_context/0-3.pt,results/partial_context/summary.txt,0,3,False,False,3,0.5321717187902801,11472.9111328125,0.713276404568616,0.7055683700023657,0.9365542507605247,0.8048157278545949,889.7816982269287
./data/seame,LSTM,200,64,2,0.1,0.5,40,0.2,0,True,5,results/partial_context/0-0.pt,results/partial_context/summary.txt,0,0,False,False,4,0.5484311151598504,11317.9560546875,0.7159854162365632,0.6999017142908317,0.9760922712810634,0.8152399827885204,903.1972591876984
