data,model,emsize,nhid,nlayers,lr,clip,epochs,dropout,seed,cuda,log_interval,save,summary,condition,run,ignore_speaker,epoch,train_loss,val_loss,val_acc,val_prec,val_recall,val_f,epoch_time
data/seame,LSTM,500,64,2,0.1,5,40,0.2,0,True,5,results/include_speaker/0-0.pt,results/include_speaker/summary.txt,0,0,False,1,0.5710713935968204,0.5805221796035767,0.9135305256981303,0.9087878507269191,0.9391387559808613,0.9237140571321003,23.786924600601196
data/seame,LSTM,500,64,2,0.1,5,40,0.2,0,True,5,results/include_speaker/0-0.pt,results/include_speaker/summary.txt,0,0,False,2,0.3147181952610994,0.5001621842384338,0.9208512673362028,0.9051399354144241,0.9589451176051319,0.9312660067834152,22.764322757720947
data/seame,LSTM,500,64,2,0.1,5,40,0.2,0,True,5,results/include_speaker/0-0.pt,results/include_speaker/summary.txt,0,0,False,3,0.24783305651866472,0.3561047315597534,0.9223939954069345,0.9890471630356715,0.8645947784230629,0.922643142290835,22.763466119766235
data/seame,LSTM,500,64,2,0.1,5,40,0.2,0,True,5,results/include_speaker/0-0.pt,results/include_speaker/summary.txt,0,0,False,4,0.21020517631983146,0.32052871584892273,0.9347777654004679,0.9783013019218847,0.8986797825524204,0.9368017701980679,22.785491943359375
data/seame,LSTM,500,64,2,0.1,5,40,0.2,0,True,5,results/include_speaker/0-0.pt,results/include_speaker/summary.txt,0,0,False,5,0.1895998756472881,0.3163985013961792,0.9244425863991081,0.9793522267206478,0.8779488774822419,0.9258823851053941,22.773850679397583
data/seame,LSTM,500,64,2,0.1,5,40,0.2,0,True,5,results/include_speaker/0-0.pt,results/include_speaker/summary.txt,0,0,False,6,0.1871789609774565,0.3253496587276459,0.9399750588887349,0.9695392953929539,0.9177098296737123,0.9429128670075378,22.692211389541626
data/seame,LSTM,500,64,2,0.1,5,40,0.2,0,True,5,results/include_speaker/0-0.pt,results/include_speaker/summary.txt,0,0,False,7,0.18176136108545157,0.31192097067832947,0.9457092819614711,0.9754460631854641,0.9224458204334365,0.9482059034131592,22.552185535430908
data/seame,LSTM,500,64,2,0.1,5,40,0.2,0,True,5,results/include_speaker/0-0.pt,results/include_speaker/summary.txt,0,0,False,8,0.1791820541406289,0.36615949869155884,0.9381988432938584,0.9586811571376069,0.9261043769336106,0.94211123723042,22.61679220199585
data/seame,LSTM,500,64,2,0.1,5,40,0.2,0,True,5,results/include_speaker/0-0.pt,results/include_speaker/summary.txt,0,0,False,9,0.17500379566962904,0.31035518646240234,0.9435772312640364,0.9706374480487937,0.9234363767074047,0.9464487776637456,22.714987993240356
data/seame,LSTM,500,64,2,0.1,5,40,0.2,0,True,5,results/include_speaker/0-0.pt,results/include_speaker/summary.txt,0,0,False,10,0.17399878742603156,0.30943235754966736,0.9424913074672995,0.9623505871202148,0.9303130567574447,0.9460606688062948,22.700873136520386
